Accommodation_ID,Accommodation_Code,Accommodation_Country,Accommodation_Year,Accommodation_Number
1.00,ARG,Argentina,2011.00,13398.00
2.00,ARG,Argentina,2012.00,13526.00
3.00,ARG,Argentina,2013.00,14906.00
4.00,ARG,Argentina,2014.00,15591.00
5.00,ARG,Argentina,2015.00,15725.00
6.00,AUT,Austria,2011.00,20323.00
7.00,AUT,Austria,2012.00,20366.00
8.00,AUT,Austria,2013.00,20334.00
9.00,AUT,Austria,2014.00,20322.00
10.00,AUT,Austria,2015.00,20315.00
11.00,AZE,Azerbaijan,2011.00,583.00
12.00,AZE,Azerbaijan,2012.00,
13.00,AZE,Azerbaijan,2013.00,
14.00,AZE,Azerbaijan,2014.00,
15.00,AZE,Azerbaijan,2015.00,
16.00,BEL,Belgium,2011.00,3506.00
17.00,BEL,Belgium,2012.00,4548.00
18.00,BEL,Belgium,2013.00,4691.00
19.00,BEL,Belgium,2014.00,5139.00
20.00,BEL,Belgium,2015.00,7990.00
21.00,BRA,Brazil,2011.00,26254.00
22.00,BRA,Brazil,2012.00,27262.00
23.00,BRA,Brazil,2013.00,28331.00
24.00,BRA,Brazil,2014.00,29280.00
25.00,BRA,Brazil,2015.00,29616.00
26.00,BGR,Bulgaria,2011.00,3776.00
27.00,BGR,Bulgaria,2012.00,2758.00
28.00,BGR,Bulgaria,2013.00,2953.00
29.00,BGR,Bulgaria,2014.00,3163.00
30.00,BGR,Bulgaria,2015.00,3202.00
31.00,CAN,Canada,2011.00,16933.00
32.00,CAN,Canada,2012.00,16835.00
33.00,CAN,Canada,2013.00,17790.00
34.00,CAN,Canada,2014.00,19411.00
35.00,CAN,Canada,2015.00,19575.00
36.00,CZE,Czech Republic,2011.00,7657.00
37.00,CZE,Czech Republic,2012.00,10057.00
38.00,CZE,Czech Republic,2013.00,9970.00
39.00,CZE,Czech Republic,2014.00,9013.00
40.00,CZE,Czech Republic,2015.00,9163.00
41.00,ECU,Ecuador,2011.00,4032.00
42.00,ECU,Ecuador,2012.00,4334.00
43.00,ECU,Ecuador,2013.00,4672.00
44.00,ECU,Ecuador,2014.00,5175.00
45.00,ECU,Ecuador,2015.00,5488.00
46.00,EST,Estonia,2011.00,1158.00
47.00,EST,Estonia,2012.00,1238.00
48.00,EST,Estonia,2013.00,1320.00
49.00,EST,Estonia,2014.00,1419.00
50.00,EST,Estonia,2015.00,1417.00
51.00,FIN,Finland,2011.00,1894.00
52.00,FIN,Finland,2012.00,1881.00
53.00,FIN,Finland,2013.00,2095.00
54.00,FIN,Finland,2014.00,2075.00
55.00,FIN,Finland,2015.00,2097.00
56.00,FRA,France,2011.00,28283.00
57.00,FRA,France,2012.00,28338.00
58.00,FRA,France,2013.00,28218.00
59.00,FRA,France,2014.00,30865.00
60.00,FRA,France,2015.00,30134.00
61.00,GEO,Georgia,2011.00,616.00
62.00,GEO,Georgia,2012.00,777.00
63.00,GEO,Georgia,2013.00,836.00
64.00,GEO,Georgia,2014.00,986.00
65.00,GEO,Georgia,2015.00,1225.00
66.00,DEU,Germany,2011.00,54949.00
67.00,DEU,Germany,2012.00,53246.00
68.00,DEU,Germany,2013.00,52473.00
69.00,DEU,Germany,2014.00,51865.00
70.00,DEU,Germany,2015.00,51419.00
71.00,HUN,Hungary,2011.00,33387.00
72.00,HUN,Hungary,2012.00,33115.00
73.00,HUN,Hungary,2013.00,33013.00
74.00,HUN,Hungary,2014.00,32781.00
75.00,HUN,Hungary,2015.00,32993.00
76.00,IDN,Indonesia,2011.00,15283.00
77.00,IDN,Indonesia,2012.00,15998.00
78.00,IDN,Indonesia,2013.00,16685.00
79.00,IDN,Indonesia,2014.00,17484.00
80.00,IDN,Indonesia,2015.00,18353.00
81.00,IRN,"Iran, Islamic Republic Of",2011.00,3274.00
82.00,IRN,"Iran, Islamic Republic Of",2012.00,3280.00
83.00,IRN,"Iran, Islamic Republic Of",2013.00,3280.00
84.00,IRN,"Iran, Islamic Republic Of",2014.00,3342.00
85.00,IRN,"Iran, Islamic Republic Of",2015.00,3346.00
86.00,ISR,Israel,2011.00,1704.00
87.00,ISR,Israel,2012.00,1665.00
88.00,ISR,Israel,2013.00,1676.00
89.00,ISR,Israel,2014.00,1602.00
90.00,ISR,Israel,2015.00,1577.00
91.00,ITA,Italy,2011.00,81748.00
92.00,ITA,Italy,2012.00,83424.00
93.00,ITA,Italy,2013.00,85007.00
94.00,ITA,Italy,2014.00,87342.00
95.00,ITA,Italy,2015.00,94643.00
96.00,JPN,Japan,2011.00,52721.00
97.00,JPN,Japan,2012.00,50917.00
98.00,JPN,Japan,2013.00,51155.00
99.00,JPN,Japan,2014.00,50125.00
100.00,JPN,Japan,2015.00,49979.00
101.00,JOR,Jordan,2011.00,492.00
102.00,JOR,Jordan,2012.00,496.00
103.00,JOR,Jordan,2013.00,525.00
104.00,JOR,Jordan,2014.00,536.00
105.00,JOR,Jordan,2015.00,558.00
106.00,KOR,"Korea, Republic Of",2011.00,41918.00
107.00,KOR,"Korea, Republic Of",2012.00,42599.00
108.00,KOR,"Korea, Republic Of",2013.00,44320.00
109.00,KOR,"Korea, Republic Of",2014.00,46210.00
110.00,KOR,"Korea, Republic Of",2015.00,
111.00,LVA,Latvia,2011.00,641.00
112.00,LVA,Latvia,2012.00,632.00
113.00,LVA,Latvia,2013.00,546.00
114.00,LVA,Latvia,2014.00,544.00
115.00,LVA,Latvia,2015.00,563.00
116.00,LTU,Lithuania,2011.00,1425.00
117.00,LTU,Lithuania,2012.00,1413.00
118.00,LTU,Lithuania,2013.00,1305.00
119.00,LTU,Lithuania,2014.00,1400.00
120.00,LTU,Lithuania,2015.00,1664.00
121.00,LUX,Luxembourg,2011.00,550.00
122.00,LUX,Luxembourg,2012.00,532.00
123.00,LUX,Luxembourg,2013.00,498.00
124.00,LUX,Luxembourg,2014.00,474.00
125.00,LUX,Luxembourg,2015.00,466.00
126.00,NZL,New Zealand,2011.00,4684.00
127.00,NZL,New Zealand,2012.00,4653.00
128.00,NZL,New Zealand,2013.00,4633.00
129.00,NZL,New Zealand,2014.00,4687.00
130.00,NZL,New Zealand,2015.00,4731.00
131.00,PAN,Panama,2011.00,600.00
132.00,PAN,Panama,2012.00,655.00
133.00,PAN,Panama,2013.00,673.00
134.00,PAN,Panama,2014.00,705.00
135.00,PAN,Panama,2015.00,747.00
136.00,POL,Poland,2011.00,7039.00
137.00,POL,Poland,2012.00,7177.00
138.00,POL,Poland,2013.00,7152.00
139.00,POL,Poland,2014.00,7251.00
140.00,POL,Poland,2015.00,10024.00
141.00,PRT,Portugal,2011.00,7106.00
142.00,PRT,Portugal,2012.00,7324.00
143.00,PRT,Portugal,2013.00,7630.00
144.00,PRT,Portugal,2014.00,9660.00
145.00,PRT,Portugal,2015.00,16394.00
146.00,ROU,Romania,2011.00,5003.00
147.00,ROU,Romania,2012.00,5821.00
148.00,ROU,Romania,2013.00,6009.00
149.00,ROU,Romania,2014.00,6130.00
150.00,ROU,Romania,2015.00,6821.00
151.00,RUS,Russian Federation,2011.00,13062.00
152.00,RUS,Russian Federation,2012.00,14019.00
153.00,RUS,Russian Federation,2013.00,14583.00
154.00,RUS,Russian Federation,2014.00,15590.00
155.00,RUS,Russian Federation,2015.00,20136.00
156.00,ZAF,South Africa,2011.00,9831.00
157.00,ZAF,South Africa,2012.00,9760.00
158.00,ZAF,South Africa,2013.00,9683.00
159.00,ZAF,South Africa,2014.00,9748.00
160.00,ZAF,South Africa,2015.00,10109.00
161.00,ESP,Spain,2011.00,113292.00
162.00,ESP,Spain,2012.00,121121.00
163.00,ESP,Spain,2013.00,127863.00
164.00,ESP,Spain,2014.00,135366.00
165.00,ESP,Spain,2015.00,144491.00
