Arrival_ID,Arrival_Code,Arrival_Country,Arrival_Year,Arrival_Number
1.00,ARG,Argentina,2011.00,5705000.00
2.00,ARG,Argentina,2012.00,5587000.00
3.00,ARG,Argentina,2013.00,5246000.00
4.00,ARG,Argentina,2014.00,5931000.00
5.00,ARG,Argentina,2015.00,5736000.00
6.00,AUT,Austria,2011.00,23012000.00
7.00,AUT,Austria,2012.00,24151000.00
8.00,AUT,Austria,2013.00,24813000.00
9.00,AUT,Austria,2014.00,25291000.00
10.00,AUT,Austria,2015.00,26719000.00
11.00,AZE,Azerbaijan,2011.00,1562000.00
12.00,AZE,Azerbaijan,2012.00,1986000.00
13.00,AZE,Azerbaijan,2013.00,2130000.00
14.00,AZE,Azerbaijan,2014.00,2160000.00
15.00,AZE,Azerbaijan,2015.00,1922000.00
16.00,BEL,Belgium,2011.00,7494000.00
17.00,BEL,Belgium,2012.00,7560000.00
18.00,BEL,Belgium,2013.00,7684000.00
19.00,BEL,Belgium,2014.00,7887000.00
20.00,BEL,Belgium,2015.00,8355000.00
21.00,BRA,Brazil,2011.00,5433000.00
22.00,BRA,Brazil,2012.00,5677000.00
23.00,BRA,Brazil,2013.00,5813000.00
24.00,BRA,Brazil,2014.00,6430000.00
25.00,BRA,Brazil,2015.00,6306000.00
26.00,BGR,Bulgaria,2011.00,6328000.00
27.00,BGR,Bulgaria,2012.00,6541000.00
28.00,BGR,Bulgaria,2013.00,6898000.00
29.00,BGR,Bulgaria,2014.00,7311000.00
30.00,BGR,Bulgaria,2015.00,7099000.00
31.00,CAN,Canada,2011.00,16014000.00
32.00,CAN,Canada,2012.00,16344000.00
33.00,CAN,Canada,2013.00,16059000.00
34.00,CAN,Canada,2014.00,16537000.00
35.00,CAN,Canada,2015.00,17971000.00
36.00,CZE,Czech Republic,2011.00,6715000.00
37.00,CZE,Czech Republic,2012.00,7647000.00
38.00,CZE,Czech Republic,2013.00,7852000.00
39.00,CZE,Czech Republic,2014.00,8096000.00
40.00,CZE,Czech Republic,2015.00,8707000.00
