Departure_ID,Departure_Code,Departure_Country,Departure_Year,Departure_Number,,,,,
235.00,ALB,Albania,2011.00,4120.00,,,,,
236.00,ALB,Albania,2012.00,3959.00,,,,,
237.00,ALB,Albania,2013.00,3928.00,,,,,
238.00,ALB,Albania,2014.00,4146.00,,,,,
239.00,ALB,Albania,2015.00,4504.00,,,,,
1.00,ARG,Argentina,2011.00,7676.00,,,,,
2.00,ARG,Argentina,2012.00,8295.00,,,,,
3.00,ARG,Argentina,2013.00,9844.00,,,,,
4.00,ARG,Argentina,2014.00,10022.00,,,,,
5.00,ARG,Argentina,2015.00,13159.00,,,,,
11.00,AZE,Azerbaijan,2011.00,3550.00,,,,,
12.00,AZE,Azerbaijan,2012.00,3874.00,,,,,
13.00,AZE,Azerbaijan,2013.00,4285.00,,,,,
14.00,AZE,Azerbaijan,2014.00,4244.00,,,,,
15.00,AZE,Azerbaijan,2015.00,4096.00,,,,,
170.00,BLR,Belarus,2011.00,7542.00,,,,,
171.00,BLR,Belarus,2012.00,8427.00,,,,,
172.00,BLR,Belarus,2013.00,8841.00,,,,,
173.00,BLR,Belarus,2014.00,7246.00,,,,,
174.00,BLR,Belarus,2015.00,6972.00,,,,,
31.00,CAN,Canada,2011.00,61909.00,,,,,
32.00,CAN,Canada,2012.00,65175.00,,,,,
33.00,CAN,Canada,2013.00,65780.00,,,,,
34.00,CAN,Canada,2014.00,63737.00,,,,,
35.00,CAN,Canada,2015.00,55971.00,,,,,
175.00,CHL,Chile,2011.00,3220.00,,,,,
176.00,CHL,Chile,2012.00,3448.00,,,,,
177.00,CHL,Chile,2013.00,3674.00,,,,,
178.00,CHL,Chile,2014.00,3842.00,,,,,
179.00,CHL,Chile,2015.00,4103.00,,,,,
180.00,HRV,Croatia,2011.00,5526.00,,,,,
181.00,HRV,Croatia,2012.00,5159.00,,,,,
182.00,HRV,Croatia,2013.00,5444.00,,,,,
183.00,HRV,Croatia,2014.00,4638.00,,,,,
184.00,HRV,Croatia,2015.00,4355.00,,,,,
185.00,CYP,Cyprus,2011.00,1209.00,,,,,
186.00,CYP,Cyprus,2012.00,1194.00,,,,,
187.00,CYP,Cyprus,2013.00,1115.00,,,,,
188.00,CYP,Cyprus,2014.00,1209.00,,,,,
189.00,CYP,Cyprus,2015.00,1119.00,,,,,
190.00,EGY,Egypt,2011.00,4863.00,,,,,
191.00,EGY,Egypt,2012.00,5678.00,,,,,
192.00,EGY,Egypt,2013.00,5782.00,,,,,
193.00,EGY,Egypt,2014.00,6180.00,,,,,
194.00,EGY,Egypt,2015.00,,,,,,
195.00,SLV,El Salvador,2011.00,1469.00,,,,,
196.00,SLV,El Salvador,2012.00,1462.00,,,,,
197.00,SLV,El Salvador,2013.00,1515.00,,,,,
198.00,SLV,El Salvador,2014.00,1515.00,,,,,
199.00,SLV,El Salvador,2015.00,1618.00,,,,,
51.00,FIN,Finland,2011.00,8238.00,,,,,
52.00,FIN,Finland,2012.00,9978.00,,,,,
53.00,FIN,Finland,2013.00,9526.00,,,,,
54.00,FIN,Finland,2014.00,9783.00,,,,,
55.00,FIN,Finland,2015.00,10022.00,,,,,
56.00,FRA,France,2011.00,31153.00,,,,,
57.00,FRA,France,2012.00,29642.00,,,,,
58.00,FRA,France,2013.00,30457.00,,,,,
59.00,FRA,France,2014.00,31941.00,,,,,
60.00,FRA,France,2015.00,30608.00,,,,,
230.00,GTM,Guatemala,2011.00,718.00,,,,,
231.00,GTM,Guatemala,2012.00,721.00,,,,,
232.00,GTM,Guatemala,2013.00,846.00,,,,,
233.00,GTM,Guatemala,2014.00,992.00,,,,,
234.00,GTM,Guatemala,2015.00,1130.00,,,,,
200.00,HKG,"Hong Kong, China",2011.00,84816.00,,,,,
201.00,HKG,"Hong Kong, China",2012.00,85276.00,,,,,
202.00,HKG,"Hong Kong, China",2013.00,84414.00,,,,,
203.00,HKG,"Hong Kong, China",2014.00,84519.00,,,,,
204.00,DEU,"Hong Kong, China",2015.00,89082.00,,,,,
71.00,HUN,Hungary,2011.00,16634.00,,,,,
72.00,HUN,Hungary,2012.00,16143.00,,,,,
