Sentiment_ID,Sentiment_Country ,Sentiment_Code,pos_count,neg_count,all_count,score
1, Jordan,JOR,252,8,260,97
2,Albania,ALB,4,0,4,100
3,Argentina,ARG,714,15,729,98
4,Austria,AUT,6,1,7,86
5,Azerbaijan,AZE,3,0,3,100
6,Belgium,BEL,7,0,7,100
7,Brazil,BRA,29,0,29,100
8,Bulgaria,BGR,27,0,27,100
9,Canada,CAN,458,23,481,95
10,Ecuador,ECU,3,0,3,100
11,Estonia,EST,0,0,0,0
12,Finland,FIN,280,0,280,100
13,France,FRA,29,3,32,91
14,Georgia,GEO,26,0,26,100
15,Germany,DEU,31,2,33,94
16,Hungary,HUN,0,0,0,0
17,Indonesia,IDN,43,33,76,57
18,Iran,IRN,293,72,365,80
19,Israel,ISR,423,39,462,92
20,Italy,ITA,15,1,16,94
21,Japan,JPN,331,62,393,84
22,Korea,KOR,5,1,6,83
23,Latvia,LVA,0,0,0,0
24,Lithuania,LTU,155,0,155,100
25,Luxembourg,LUX,10,0,10,100
26,NewZealand,NZL,33,2,35,94
27,Panama,PAN,3,0,3,100
28,Poland,POL,842,12,854,99
29,Portugal,PRT,24,3,27,89
30,Romania,ROU,13,4,17,76
31,SouthAfrica,ZAF,265,13,278,95
32,Spain,ESP,650,7,657,99
